Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
97,Saturday Jul 23,boxscore,SFG,@,NYY,W,2,1,12,58-39,1,up 4.0,Casilla,Swarzak,Strickland,4:25,D,46727,+
98,Sunday Jul 24,boxscore,SFG,@,NYY,L,2,5,,58-40,1,up 3.0,Eovaldi,Samardzija,Green,3:06,D,34143,-
99,Monday Jul 25,boxscore,SFG,,CIN,L,5,7,,58-41,1,up 2.5,DeSclafani,Peavy,Cingrani,3:05,N,42147,--
100,Tuesday Jul 26,boxscore,SFG,,CIN,W,9,7,,59-41,1,up 2.5,Cain,Reed,Casilla,3:20,N,41896,+
101,Wednesday Jul 27,boxscore,SFG,,CIN,L,1,2,,59-42,1,up 2.5,Straily,Bumgarner,Cingrani,2:23,D,42079,-
102,Thursday Jul 28,boxscore,SFG,,WSN,L,2,4,,59-43,1,up 2.0,Roark,Cueto,Kelley,3:28,N,42001,--
103,Friday Jul 29,boxscore,SFG,,WSN,L,1,4,,59-44,1,up 1.0,Scherzer,Samardzija,Kelley,3:15,N,41959,---
104,Saturday Jul 30,boxscore,SFG,,WSN,W,5,3,,60-44,1,up 2.0,Law,Petit,Casilla,3:29,D,41743,+
105,Sunday Jul 31,boxscore,SFG,,WSN,W,3,1,,61-44,1,up 2.0,Cain,Gonzalez,Casilla,3:12,D,41795,++
106,Tuesday Aug 2,boxscore,SFG,@,PHI,L,8,13,,61-45,1,up 2.0,Neris,Smith,,3:16,N,23351,-
107,Wednesday Aug 3,boxscore,SFG,@,PHI,L-wo,4,5,12,61-46,1,up 2.0,Garcia,Kontos,,4:03,N,23162,--
108,Thursday Aug 4,boxscore,SFG,@,PHI,W,3,2,10,62-46,1,up 2.0,Romo,Gonzalez,Casilla,3:30,D,30229,+
109,Friday Aug 5,boxscore,SFG,@,WSN,L,1,5,,62-47,1,up 2.0,Gonzalez,Samardzija,,2:26,N,34036,-
110,Saturday Aug 6,boxscore,SFG,@,WSN,W,7,1,,63-47,1,up 2.0,Cain,Strasburg,,3:29,N,36404,+
111,Sunday Aug 7,boxscore,SFG,@,WSN,L,0,1,,63-48,1,up 1.0,Roark,Bumgarner,Melancon,2:43,D,32790,-
112,Monday Aug 8,boxscore,SFG,@,MIA,W,8,7,14,64-48,1,up 1.0,Kontos,McGowan,,5:34,N,22806,+
113,Tuesday Aug 9,boxscore,SFG,@,MIA,L,0,2,,64-49,1,Tied,Koehler,Moore,Rodney,2:58,N,19636,-
114,Wednesday Aug 10,boxscore,SFG,@,MIA,W,1,0,,65-49,1,up 1.0,Samardzija,Phelps,Casilla,3:04,D,21096,+
115,Friday Aug 12,boxscore,SFG,,BAL,L,2,5,,65-50,1,up 1.0,Bundy,Cain,Britton,3:01,N,41479,-
116,Saturday Aug 13,boxscore,SFG,,BAL,W,6,2,,66-50,1,up 1.0,Bumgarner,Gausman,Casilla,2:59,N,41456,+
117,Sunday Aug 14,boxscore,SFG,,BAL,L,7,8,,66-51,1,up 1.0,Brach,Casilla,Britton,3:14,D,41268,-
118,Monday Aug 15,boxscore,SFG,,PIT,L,5,8,,66-52,1,up 0.5,Vogelsong,Moore,,3:27,N,41850,--
119,Tuesday Aug 16,boxscore,SFG,,PIT,L,3,4,,66-53,2,0.5,Bastardo,Law,Watson,3:12,N,41185,---
120,Wednesday Aug 17,boxscore,SFG,,PIT,L,5,6,,66-54,2,1.5,Nicasio,Cain,Watson,3:21,D,41139,----
121,Thursday Aug 18,boxscore,SFG,,NYM,W,10,7,,67-54,2,0.5,Bumgarner,deGrom,Casilla,3:30,N,41517,+
122,Friday Aug 19,boxscore,SFG,,NYM,W,8,1,,68-54,1,up 0.5,Cueto,Lugo,,2:54,N,41434,++
123,Saturday Aug 20,boxscore,SFG,,NYM,L,5,9,,68-55,1,up 0.5,Colon,Moore,,3:21,D,41125,-
124,Sunday Aug 21,boxscore,SFG,,NYM,L,0,2,,68-56,2,0.5,Syndergaard,Samardzija,Familia,2:25,N,41377,--
125,Tuesday Aug 23,boxscore,SFG,@,LAD,L,5,9,,68-57,2,2.0,Maeda,Bumgarner,Jansen,3:36,N,46899,---
126,Wednesday Aug 24,boxscore,SFG,@,LAD,L,0,1,,68-58,2,3.0,Hill,Cueto,Jansen,2:47,N,43957,----
127,Thursday Aug 25,boxscore,SFG,@,LAD,W,4,0,,69-58,2,2.0,Moore,Stripling,,3:02,N,53297,+
128,Friday Aug 26,boxscore,SFG,,ATL,W,7,0,,70-58,2,1.0,Samardzija,De La Cruz,,2:51,N,41283,++
129,Saturday Aug 27,boxscore,SFG,,ATL,L,1,3,,70-59,2,2.0,Foltynewicz,Suarez,Johnson,2:34,N,41635,-
130,Sunday Aug 28,boxscore,SFG,,ATL,W,13,4,,71-59,2,2.0,Bumgarner,Blair,,3:13,D,41675,+
131,Tuesday Aug 30,boxscore,SFG,,ARI,L,3,4,,71-60,2,2.0,Greinke,Cueto,Hudson,3:18,N,41443,-
132,Wednesday Aug 31,boxscore,SFG,,ARI,W,4,2,,72-60,2,1.5,Moore,Miller,Casilla,3:33,D,41447,+
133,Thursday Sep 1,boxscore,SFG,@,CHC,L,4,5,,72-61,2,2.0,Smith,Strickland,Edwards,2:54,N,38536,-
134,Friday Sep 2,boxscore,SFG,@,CHC,L,1,2,,72-62,2,2.0,Lester,Suarez,,2:37,D,40818,--
